name,creationYear,duration,original,description,topics
Heart in the Love,1981,3:45,False,Heart in the Love is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
First for a Night,2003,2:02,False,First for a Night is a song that Evokes the essence of last experiences.,"['Hip-Hop', 'Energetic']"
Sunrise beyond the Sunrise,2023,2:25,False,Sunrise beyond the Sunrise is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Dream to the Sunset,2009,5:47,False,Dream to the Sunset is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Moon in the Sunrise,2017,3:05,False,Moon in the Sunrise is a song that Evokes the essence of lonely experiences.,"['Pop', 'Love']"
Beautiful Moon,1981,5:52,True,Beautiful Moon is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Last Sunset,2000,2:25,False,Last Sunset is a song that A soulful composition that explores the complexity of star.,"['Jazz', 'Relax']"
Happy Moon,2012,2:11,False,Happy Moon is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Moon without a Day,1991,2:33,False,Moon without a Day is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Sky in the Sunrise,2001,5:36,False,Sky in the Sunrise is a song that Evokes the essence of bright experiences.,"['Rock', 'Sad']"
Dark Star,2023,4:43,True,Dark Star is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Beautiful Moon,2004,5:14,True,Beautiful Moon is a song that An anthem that resonates with the feeling of moon.,"['Pop', 'Love']"
Heart in the Dream,2006,4:47,True,"Heart in the Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Last Heart,2021,4:05,True,Last Heart is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Eternal Dream,2007,3:49,True,Eternal Dream is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Lonely in the Love,1995,5:58,True,Lonely in the Love is a song that A soulful composition that explores the complexity of sunset.,"['Rock', 'Sad']"
Broken under the Night,1994,4:44,False,Broken under the Night is a song that Evokes the essence of final experiences.,"['Pop', 'Love']"
First under the Moon,2023,2:22,True,"First under the Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Final Night,1982,4:54,True,"Final Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Bright without a Day,2016,5:46,False,Bright without a Day is a song that A soulful composition that explores the complexity of star.,"['Hip-Hop', 'Energetic']"
Eternal Sky,1986,2:59,True,Eternal Sky is a song that A soulful composition that explores the complexity of dream.,"['Jazz', 'Relax']"
Beautiful Moon,2000,4:24,False,Beautiful Moon is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Lonely Dream,1988,5:10,False,Lonely Dream is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Bright beyond the Sunrise,2018,4:14,True,Bright beyond the Sunrise is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Lonely without a Sunset,1997,5:20,False,"Lonely without a Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Dark Heart,1983,2:21,True,Dark Heart is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Happy Dream,2004,4:33,True,Happy Dream is a song that A soulful composition that explores the complexity of sunrise.,"['Rock', 'Sad']"
Last Sunset,1993,3:03,False,Last Sunset is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Happy to the Dream,1988,5:52,False,Happy to the Dream is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Sky in the Sunset,2005,5:45,True,"Sky in the Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Dream without a Moon,1981,4:28,False,Dream without a Moon is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Bright without a Heart,1999,4:27,False,Bright without a Heart is a song that A soulful composition that explores the complexity of night.,"['Pop', 'Love']"
Bright Love,2007,4:07,True,Bright Love is a song that A soulful composition that explores the complexity of sky.,"['Rock', 'Sad']"
Moon under the Heart,1986,5:41,True,Moon under the Heart is a song that A soulful composition that explores the complexity of love.,"['Pop', 'Love']"
First Star,2023,5:29,False,First Star is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Beautiful beyond the Heart,1987,3:01,True,Beautiful beyond the Heart is a song that Evokes the essence of final experiences.,"['Hip-Hop', 'Energetic']"
Beautiful Moon,2014,2:12,True,Beautiful Moon is a song that Evokes the essence of final experiences.,"['Pop', 'Love']"
Lonely for a Star,1993,5:25,True,"Lonely for a Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Last without a Star,1996,2:29,True,Last without a Star is a song that Evokes the essence of final experiences.,"['Pop', 'Love']"
Eternal beyond the Star,2015,4:06,True,Eternal beyond the Star is a song that A soulful composition that explores the complexity of sky.,"['Rock', 'Sad']"
Lonely under the Sunset,2019,4:43,True,Lonely under the Sunset is a song that A soulful composition that explores the complexity of moon.,"['Hip-Hop', 'Energetic']"
Moon under the Night,1983,3:38,True,Moon under the Night is a song that An anthem that resonates with the feeling of sunset.,"['Hip-Hop', 'Energetic']"
Broken beyond the Moon,1981,2:30,False,Broken beyond the Moon is a song that A soulful composition that explores the complexity of day.,"['Pop', 'Love']"
Eternal Star,1985,4:55,True,Eternal Star is a song that A soulful composition that explores the complexity of night.,"['Hip-Hop', 'Energetic']"
Love for a Sunrise,2021,2:41,False,Love for a Sunrise is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Heart under the Star,1983,2:41,False,"Heart under the Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Beautiful in the Night,2008,5:35,False,Beautiful in the Night is a song that A soulful composition that explores the complexity of sunrise.,"['Rock', 'Sad']"
Lonely Day,1997,5:03,True,Lonely Day is a song that A soulful composition that explores the complexity of love.,"['Hip-Hop', 'Energetic']"
Happy under the Sky,2005,3:06,True,Happy under the Sky is a song that A soulful composition that explores the complexity of love.,"['Hip-Hop', 'Energetic']"
Heart to the Star,2023,3:00,False,Heart to the Star is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Bright beyond the Love,2013,5:55,True,Bright beyond the Love is a song that An anthem that resonates with the feeling of love.,"['Jazz', 'Relax']"
First Sunset,1989,2:41,False,First Sunset is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Night to the Day,2015,4:58,True,Night to the Day is a song that A soulful composition that explores the complexity of love.,"['Hip-Hop', 'Energetic']"
Star beyond the Dream,1993,2:54,True,Star beyond the Dream is a song that Evokes the essence of lonely experiences.,"['Jazz', 'Relax']"
First Night,2010,3:53,False,First Night is a song that Evokes the essence of first experiences.,"['Pop', 'Love']"
Beautiful in the Day,1994,2:21,False,Beautiful in the Day is a song that A soulful composition that explores the complexity of night.,"['Jazz', 'Relax']"
Dark for a Moon,1987,5:08,False,Dark for a Moon is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Beautiful Sky,1993,3:08,True,Beautiful Sky is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Bright Heart,2002,4:09,False,Bright Heart is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Last Dream,2019,5:57,True,Last Dream is a song that An anthem that resonates with the feeling of night.,"['Jazz', 'Relax']"
First Star,2000,2:41,True,"First Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Beautiful in the Sunset,1995,5:23,True,Beautiful in the Sunset is a song that An anthem that resonates with the feeling of moon.,"['Jazz', 'Relax']"
Bright under the Moon,1997,5:48,False,Bright under the Moon is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Eternal in the Moon,2003,3:26,False,"Eternal in the Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Broken under the Sunrise,2005,2:03,False,Broken under the Sunrise is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Happy Dream,2004,3:23,True,Happy Dream is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Moon for a Sunset,2020,4:35,True,Moon for a Sunset is a song that An anthem that resonates with the feeling of heart.,"['Hip-Hop', 'Energetic']"
Bright to the Sunrise,2008,5:38,False,Bright to the Sunrise is a song that Evokes the essence of happy experiences.,"['Hip-Hop', 'Energetic']"
Lonely Moon,1994,3:24,True,Lonely Moon is a song that Evokes the essence of beautiful experiences.,"['Jazz', 'Relax']"
Eternal Dream,1980,3:18,True,Eternal Dream is a song that A soulful composition that explores the complexity of night.,"['Pop', 'Love']"
Last in the Day,2004,5:09,False,Last in the Day is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Star in the Night,1986,2:54,False,Star in the Night is a song that An anthem that resonates with the feeling of night.,"['Rock', 'Sad']"
Sunrise in the Star,1988,3:04,False,Sunrise in the Star is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Beautiful beyond the Day,2003,4:48,True,Beautiful beyond the Day is a song that Evokes the essence of final experiences.,"['Pop', 'Love']"
Sky for a Day,1980,4:43,True,Sky for a Day is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Bright Love,2023,3:32,True,Bright Love is a song that An anthem that resonates with the feeling of day.,"['Jazz', 'Relax']"
Dark for a Moon,1987,4:20,True,"Dark for a Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Sunrise of the Sky,2003,2:21,True,Sunrise of the Sky is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Eternal under the Sunset,1990,5:36,False,Eternal under the Sunset is a song that A soulful composition that explores the complexity of night.,"['Jazz', 'Relax']"
Lonely Star,1996,4:34,True,Lonely Star is a song that A soulful composition that explores the complexity of moon.,"['Rock', 'Sad']"
Lonely Sunset,1987,5:06,True,Lonely Sunset is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Bright Sunset,2014,5:10,True,Bright Sunset is a song that Evokes the essence of broken experiences.,"['Rock', 'Sad']"
Lonely Star,2014,3:08,False,Lonely Star is a song that An anthem that resonates with the feeling of heart.,"['Jazz', 'Relax']"
Heart under the Dream,2012,3:12,False,Heart under the Dream is a song that Evokes the essence of last experiences.,"['Rock', 'Sad']"
Last Star,1984,2:56,False,Last Star is a song that Evokes the essence of lonely experiences.,"['Jazz', 'Relax']"
Last Sky,2021,3:24,True,"Last Sky is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Last to the Night,2018,3:34,False,Last to the Night is a song that A soulful composition that explores the complexity of sunrise.,"['Hip-Hop', 'Energetic']"
Day of the Love,2020,4:20,False,Day of the Love is a song that An anthem that resonates with the feeling of sunrise.,"['Hip-Hop', 'Energetic']"
Sunrise beyond the Star,2007,3:02,False,"Sunrise beyond the Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Dark of the Day,1986,3:53,True,Dark of the Day is a song that Evokes the essence of lonely experiences.,"['Jazz', 'Relax']"
Broken beyond the Night,1988,2:38,False,Broken beyond the Night is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Moon in the Love,1987,2:48,True,Moon in the Love is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Sky to the Sunrise,1991,4:38,True,Sky to the Sunrise is a song that Evokes the essence of beautiful experiences.,"['Hip-Hop', 'Energetic']"
Star of the Sky,2013,5:59,False,Star of the Sky is a song that Evokes the essence of lonely experiences.,"['Jazz', 'Relax']"
Beautiful Love,2012,3:18,True,Beautiful Love is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Sky without a Moon,2002,5:25,False,"Sky without a Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Bright under the Love,2003,3:41,True,Bright under the Love is a song that A soulful composition that explores the complexity of dream.,"['Rock', 'Sad']"
Broken of the Star,2016,5:38,False,Broken of the Star is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Beautiful to the Sunrise,2014,2:45,False,Beautiful to the Sunrise is a song that An anthem that resonates with the feeling of sunset.,"['Hip-Hop', 'Energetic']"
Sunset to the Heart,2023,5:39,False,Sunset to the Heart is a song that An anthem that resonates with the feeling of sky.,"['Hip-Hop', 'Energetic']"
Sunset for a Star,2019,2:32,True,"Sunset for a Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Sunrise in the Moon,2001,5:02,False,Sunrise in the Moon is a song that An anthem that resonates with the feeling of love.,"['Hip-Hop', 'Energetic']"
Night in the Sunset,2006,2:07,True,Night in the Sunset is a song that Evokes the essence of first experiences.,"['Jazz', 'Relax']"
Lonely for a Sunrise,2014,2:58,False,Lonely for a Sunrise is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Day for a Moon,1980,3:40,True,Day for a Moon is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Love under the Night,2014,4:03,True,"Love under the Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Sunrise to the Sky,2016,2:48,False,"Sunrise to the Sky is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Eternal in the Love,1993,5:01,False,"Eternal in the Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Broken Night,1982,5:04,False,Broken Night is a song that A soulful composition that explores the complexity of dream.,"['Rock', 'Sad']"
Last Dream,1980,5:26,False,Last Dream is a song that Evokes the essence of bright experiences.,"['Pop', 'Love']"
Sunset in the Sky,1984,5:20,False,"Sunset in the Sky is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Beautiful without a Sunrise,2005,5:37,True,Beautiful without a Sunrise is a song that Evokes the essence of first experiences.,"['Rock', 'Sad']"
Day under the Heart,1993,5:49,False,"Day under the Heart is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
First of the Night,2018,4:53,False,First of the Night is a song that A soulful composition that explores the complexity of day.,"['Jazz', 'Relax']"
Broken beyond the Sunrise,2006,5:57,True,Broken beyond the Sunrise is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Eternal for a Star,1988,4:21,False,Eternal for a Star is a song that Evokes the essence of beautiful experiences.,"['Jazz', 'Relax']"
Last to the Sunrise,1994,3:01,False,Last to the Sunrise is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Star for a Sunrise,1994,4:43,True,Star for a Sunrise is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Happy for a Love,2005,3:37,False,"Happy for a Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Eternal in the Heart,2021,2:34,False,Eternal in the Heart is a song that A soulful composition that explores the complexity of heart.,"['Jazz', 'Relax']"
Happy to the Love,1992,3:22,False,Happy to the Love is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Dark Night,2011,3:51,True,Dark Night is a song that A soulful composition that explores the complexity of dream.,"['Hip-Hop', 'Energetic']"
Dark Night,2018,5:21,False,"Dark Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Night for a Love,2011,5:57,True,Night for a Love is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Star to the Day,1983,5:04,False,Star to the Day is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Eternal under the Day,2009,2:28,True,Eternal under the Day is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Dark to the Moon,2016,4:46,False,Dark to the Moon is a song that A soulful composition that explores the complexity of star.,"['Hip-Hop', 'Energetic']"
Broken Star,2002,2:54,True,Broken Star is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Dark Night,2018,5:41,True,"Dark Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Final Night,1994,3:29,True,Final Night is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Broken to the Night,2022,2:54,True,Broken to the Night is a song that Evokes the essence of last experiences.,"['Pop', 'Love']"
Eternal of the Sky,2008,5:11,True,Eternal of the Sky is a song that An anthem that resonates with the feeling of day.,"['Jazz', 'Relax']"
Lonely to the Dream,2015,2:15,True,Lonely to the Dream is a song that A soulful composition that explores the complexity of sky.,"['Pop', 'Love']"
Day in the Sunset,1992,5:07,False,Day in the Sunset is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Star under the Star,2011,5:02,False,Star under the Star is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Final Night,1986,5:29,True,Final Night is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Dark of the Day,2001,2:22,True,Dark of the Day is a song that An anthem that resonates with the feeling of day.,"['Rock', 'Sad']"
Final Sunrise,2007,5:50,True,Final Sunrise is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Day beyond the Love,1981,5:53,True,Day beyond the Love is a song that Evokes the essence of final experiences.,"['Hip-Hop', 'Energetic']"
Sunrise of the Sunrise,2021,2:19,False,"Sunrise of the Sunrise is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Final Moon,1985,5:55,True,Final Moon is a song that An anthem that resonates with the feeling of sky.,"['Rock', 'Sad']"
Eternal Sky,2007,5:00,False,Eternal Sky is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Beautiful in the Dream,2007,2:29,False,Beautiful in the Dream is a song that A soulful composition that explores the complexity of dream.,"['Rock', 'Sad']"
Final Heart,2023,2:19,True,Final Heart is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Day for a Sunset,2023,3:21,True,Day for a Sunset is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Sunrise of the Love,1999,3:07,False,Sunrise of the Love is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Star for a Dream,2009,4:31,False,Star for a Dream is a song that A soulful composition that explores the complexity of dream.,"['Rock', 'Sad']"
Day for a Moon,1990,2:52,True,"Day for a Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Sunset for a Dream,2007,5:11,True,"Sunset for a Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Broken Night,2004,3:51,True,Broken Night is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Beautiful Moon,2018,3:13,False,Beautiful Moon is a song that An anthem that resonates with the feeling of sunrise.,"['Rock', 'Sad']"
Happy Day,2012,5:32,False,Happy Day is a song that Evokes the essence of happy experiences.,"['Hip-Hop', 'Energetic']"
Eternal Night,1980,4:49,True,Eternal Night is a song that Evokes the essence of eternal experiences.,"['Jazz', 'Relax']"
Happy beyond the Sunrise,2006,2:01,False,Happy beyond the Sunrise is a song that A soulful composition that explores the complexity of sky.,"['Rock', 'Sad']"
Happy under the Night,1992,2:20,False,Happy under the Night is a song that An anthem that resonates with the feeling of heart.,"['Jazz', 'Relax']"
Dark under the Love,2020,3:26,True,Dark under the Love is a song that A soulful composition that explores the complexity of heart.,"['Jazz', 'Relax']"
Final under the Dream,1982,2:08,True,Final under the Dream is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Last Love,2018,2:10,False,"Last Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Eternal without a Night,1985,4:51,False,"Eternal without a Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Night to the Sunset,1987,3:22,True,Night to the Sunset is a song that Evokes the essence of beautiful experiences.,"['Jazz', 'Relax']"
Star in the Night,2006,3:03,True,Star in the Night is a song that An anthem that resonates with the feeling of sky.,"['Jazz', 'Relax']"
Heart beyond the Day,1988,3:54,True,Heart beyond the Day is a song that Evokes the essence of dark experiences.,"['Rock', 'Sad']"
Moon to the Star,2016,3:34,True,Moon to the Star is a song that An anthem that resonates with the feeling of star.,"['Pop', 'Love']"
Happy to the Sky,2012,3:42,True,Happy to the Sky is a song that An anthem that resonates with the feeling of moon.,"['Rock', 'Sad']"
Sky under the Sky,2021,4:21,False,"Sky under the Sky is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Final for a Sunrise,2023,5:36,False,Final for a Sunrise is a song that A soulful composition that explores the complexity of heart.,"['Rock', 'Sad']"
Last in the Day,2003,5:41,False,Last in the Day is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Sunrise under the Sky,1994,5:46,False,Sunrise under the Sky is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Heart in the Dream,2011,2:41,True,"Heart in the Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Love in the Night,2011,3:17,True,Love in the Night is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Night of the Day,2003,2:34,True,Night of the Day is a song that A soulful composition that explores the complexity of love.,"['Jazz', 'Relax']"
First in the Star,2020,3:23,False,First in the Star is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Dream for a Night,1991,3:29,False,"Dream for a Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Heart in the Day,2018,3:05,False,Heart in the Day is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Broken in the Sky,1981,4:15,True,Broken in the Sky is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Dark for a Night,1982,4:51,False,Dark for a Night is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Dark in the Night,2016,3:08,True,Dark in the Night is a song that A soulful composition that explores the complexity of dream.,"['Hip-Hop', 'Energetic']"
Sunrise for a Star,1996,4:20,True,Sunrise for a Star is a song that An anthem that resonates with the feeling of love.,"['Hip-Hop', 'Energetic']"
Happy in the Star,1981,4:01,True,Happy in the Star is a song that An anthem that resonates with the feeling of dream.,"['Rock', 'Sad']"
First without a Sky,1981,4:01,True,First without a Sky is a song that An anthem that resonates with the feeling of night.,"['Jazz', 'Relax']"
Sky under the Night,2007,4:17,True,Sky under the Night is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
First Love,2002,3:19,True,First Love is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Eternal Heart,2016,3:09,False,Eternal Heart is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Final Sunset,2011,2:01,True,Final Sunset is a song that Evokes the essence of lonely experiences.,"['Pop', 'Love']"
Happy to the Moon,2012,2:53,True,Happy to the Moon is a song that An anthem that resonates with the feeling of day.,"['Pop', 'Love']"
Bright in the Moon,1980,2:35,False,Bright in the Moon is a song that An anthem that resonates with the feeling of dream.,"['Jazz', 'Relax']"
Happy Moon,1998,4:13,True,Happy Moon is a song that An anthem that resonates with the feeling of sunset.,"['Hip-Hop', 'Energetic']"
Eternal without a Heart,1981,2:45,False,Eternal without a Heart is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
First in the Love,2023,5:53,False,First in the Love is a song that Evokes the essence of dark experiences.,"['Rock', 'Sad']"
First Star,2005,3:51,False,"First Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Dream beyond the Sunrise,2011,4:34,True,Dream beyond the Sunrise is a song that Evokes the essence of broken experiences.,"['Jazz', 'Relax']"
Happy in the Sunset,1985,2:05,True,Happy in the Sunset is a song that Evokes the essence of beautiful experiences.,"['Jazz', 'Relax']"
Sunset of the Sunset,2011,2:12,False,Sunset of the Sunset is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Beautiful to the Star,1983,2:33,True,Beautiful to the Star is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Bright of the Moon,1990,5:20,True,Bright of the Moon is a song that An anthem that resonates with the feeling of heart.,"['Pop', 'Love']"
Beautiful of the Day,1996,3:03,False,Beautiful of the Day is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Lonely Star,2017,2:14,False,Lonely Star is a song that Evokes the essence of dark experiences.,"['Jazz', 'Relax']"
Day to the Star,2003,5:44,True,Day to the Star is a song that Evokes the essence of dark experiences.,"['Jazz', 'Relax']"
Lonely in the Love,1984,5:11,False,Lonely in the Love is a song that An anthem that resonates with the feeling of moon.,"['Pop', 'Love']"
Lonely Sunrise,2013,5:31,False,Lonely Sunrise is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Star without a Dream,1985,5:12,False,"Star without a Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Dark beyond the Star,2001,4:13,True,Dark beyond the Star is a song that A soulful composition that explores the complexity of day.,"['Rock', 'Sad']"
Sunset without a Night,1990,5:17,True,Sunset without a Night is a song that A soulful composition that explores the complexity of love.,"['Jazz', 'Relax']"
Heart to the Star,1995,2:59,True,Heart to the Star is a song that Evokes the essence of beautiful experiences.,"['Hip-Hop', 'Energetic']"
Last Dream,2012,4:05,False,Last Dream is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Broken Star,1988,5:28,True,Broken Star is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
